WK22;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;7082.00;0;0;0;0;0;0;0
CNF1;24743.4;0;1;1;1;0;0;1
DBZ1;6318.90;0;0;0;0;0;0;0
DSP2;4266.30;0;0;0;0;0;0;0
DBH5;4713.50;0;0;0;1;0;1;0
DRJ3;5867.50;0;0;0;0;0;1;0
DSP3;3116.60;0;0;0;0;0;2;0
FOR2;9772.66;0;0;0;0;1;3;0
GIG1;17820.25;0;0;0;0;0;7;1
GRU5;46891.76;0;0;0;1;0;3;0
GRU8;12264.60;0;0;0;0;0;3;0
POA1;14854.38;0;0;0;0;0;2;0
REC1;16428.20;0;0;0;0;0;4;1
XBRA;22862.4;0;0;0;0;0;0;0
XBRB;11176.0;0;0;0;0;0;0;0
XBRT;104200.8;0;0;0;0;0;0;0
XBRZ;6300.8;0;0;0;0;0;0;0
